Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1976,21,MON,NL,24,92,85,9,20,4,1,0,7,1,2,5,13,.235,.278,.306,.584,63,26,0,0,2,0,1,8/79,
1977,22,MON,NL,139,566,525,64,148,26,9,19,65,21,7,34,93,.282,.326,.474,.800,116,249,6,2,1,4,4,*87/9,RoY-1
1978,23,MON,NL,157,660,609,84,154,24,8,25,72,28,11,30,128,.253,.299,.442,.740,107,269,7,12,4,5,3,*8,
1979,24,MON,NL,155,684,639,90,176,24,12,25,92,35,10,27,115,.275,.309,.468,.777,111,299,10,6,8,4,5,*8,MVP-24
1980,25,MON,NL,151,638,577,96,178,41,7,17,87,34,9,44,69,.308,.358,.492,.850,136,284,9,6,1,10,7,*8,MVP-7GGSS
1981,26,MON,NL,103,441,394,71,119,21,3,24,64,26,4,35,50,.302,.365,.553,.918,157,218,6,7,0,5,14,*8,ASMVP-2GGSS
1982,27,MON,NL,148,660,608,107,183,37,7,23,83,39,10,34,96,.301,.343,.498,.841,132,303,8,8,4,6,4,*8,ASMVP-21GG
1983,28,MON,NL,159,698,633,104,189,36,10,32,113,25,11,38,81,.299,.338,.539,.877,141,341,14,9,0,18,12,*8,ASMVP-2GGSS
1984,29,MON,NL,138,583,533,73,132,23,6,17,86,13,5,41,80,.248,.301,.409,.710,102,218,12,2,1,6,2,*9,GG
1985,30,MON,NL,139,570,529,65,135,27,2,23,91,13,4,29,92,.255,.295,.444,.739,109,235,12,4,1,7,8,*98,GG
1986,31,MON,NL,130,546,496,65,141,32,2,20,78,18,12,37,79,.284,.338,.478,.815,123,237,13,6,1,6,11,*9,
1987,32,CHC,NL,153,662,621,90,178,24,2,49,137,11,3,32,103,.287,.328,.568,.896,130,353,15,7,0,2,7,*9,ASMVP-1GGSS
1988,33,CHC,NL,157,640,591,78,179,31,8,24,79,12,4,37,73,.303,.344,.504,.849,137,298,13,4,1,7,12,*9,ASMVP-15GG
1989,34,CHC,NL,118,459,416,62,105,18,6,21,77,8,5,35,62,.252,.307,.476,.783,114,198,16,1,0,7,13,*9,AS
1990,35,CHC,NL,147,581,529,72,164,28,5,27,100,16,2,42,65,.310,.358,.535,.893,135,283,12,2,0,8,21,*9,ASMVP-19
1991,36,CHC,NL,149,596,563,69,153,21,4,31,104,4,5,22,80,.272,.302,.488,.790,116,275,10,5,0,6,3,*9,ASMVP-14
1992,37,CHC,NL,143,582,542,60,150,27,2,22,90,6,2,30,70,.277,.316,.456,.772,114,247,13,4,0,6,8,*9,
1993,38,BOS,AL,121,498,461,44,126,29,1,13,67,2,1,17,49,.273,.313,.425,.738,92,196,18,13,0,7,4,D9,
1994,39,BOS,AL,75,306,292,34,70,18,0,16,48,2,2,9,53,.240,.271,.466,.737,83,136,15,4,0,1,3,D,
1995,40,FLA,NL,79,246,226,30,58,10,3,8,37,0,0,9,45,.257,.305,.434,.739,93,98,7,8,0,3,1,97,
1996,41,FLA,NL,42,61,58,6,16,2,0,2,14,0,0,2,13,.276,.311,.414,.725,92,24,1,1,0,0,0,/7,
